Date,Name,Loyalty Program,ITR,Overall Comment,Elite Ap.,Cleanliness,Staff Service,Maintenance and Upkeep,F&B,Reason for Brand Question Rating,Restaurant 1 Service Satisfaction:,Reason for Trip,Overall Score,Social Comment,Comment_Length,Month,Year,Year-Month,Season,Service_Quality,Detected_Language,Translated Overall Comment,Sentiment,Sentiment_Score,Sentiment_Magnitude,Sentiment_2
2024-08-29 13:27:06.000,HECTOR,Member,10.0,"Excelente como siempre , la atención servicio limpieza espacios comunes , la gastronomía !! Todo 10puntos",10.0,10.0,10.0,10.0,10.0,No hay dudas que la calidad y servicio son lo más importante !,10.0,Meeting,5.0,Excelente,16,8,2024,2024-08,Invierno,10.0,es,"Excellent as always, the attention, service, cleaning, common areas, gastronomy!! Everything 10 points",positive,0.699999988079071,1.5,positive
2024-08-28 16:18:09.000,OTTMAR,Gold,10.0,"Sehr gut , super Empfang ! Gratis Bier und Snack , Ales sehr gut",10.0,9.0,10.0,9.0,9.0,"Der zuvorkommende Mitarbeiter , besonders die Frühstücks Ceffin 
Frau Camila Ayelen Tores sowie Marcia Meza , und der Direktor Herr Norberto",10.0,Meeting,5.0,Excelente,14,8,2024,2024-08,Invierno,9.25,de,"Very good, great reception! Free beer and snack, ales very good",positive,0.8999999761581421,1.899999976158142,positive
2024-08-28 08:48:19.000,ADRIAN,Member,10.0,"Visitamos   Buenos Aires de ""escapada"" con mi esposa por el fin de semana, además aproveché a correr la 1/2 Maratón.
En el hotel lo pasamos espectacular, súper cómodos, con todos los servicios y excelente atención. La ubicación inmejorable, volveremos sin lugar a dudas.",10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Couple,5.0,Excelente,43,8,2024,2024-08,Invierno,10.0,es,"My wife and I visited Buenos Aires for a weekend getaway, and I also took advantage of the opportunity to run the 1/2 Marathon. We had a great time at the hotel, super comfortable, with all the services and excellent attention. The location is unbeatable, we will return without a doubt.",positive,0.800000011920929,2.5,positive
2024-08-28 08:28:01.000,EMERSON,Member,10.0,"Ótima estada, hotel muito bem localizado e aconchegante.",10.0,10.0,10.0,10.0,10.0,Tudo funcionou como planejado e acordado.,10.0,Family,5.0,Excelente,8,8,2024,2024-08,Invierno,10.0,pt,"Great stay, very well located and cozy hotel.",positive,0.8999999761581421,0.8999999761581421,positive
2024-08-28 08:07:10.000,JORDANA,Member,9.0,Hotel muito bom e atendentes agradáveis.,10.0,10.0,10.0,10.0,9.0,Unknown,10.0,Meeting,4.5,Excelente,6,8,2024,2024-08,Invierno,9.75,pt,Very good hotel and pleasant staff.,positive,0.8999999761581421,0.8999999761581421,positive
2024-08-27 18:53:05.000,ANTONIO,Member,5.0,"Tuvimos la mala experiencia de tener que usar un ascensor de servicio y pasar a través de la cocina para acceder a nuestra habitación, además de quedarnos sin servicio de TV en la noche, mala experiencia",10.0,10.0,10.0,2.0,10.0,Unknown,10.0,Family,2.5,Excelente,36,8,2024,2024-08,Invierno,8.0,es,"We had the bad experience of having to use a service elevator and go through the kitchen to access our room, as well as being left without TV service at night, bad experience",negative,-0.800000011920929,0.800000011920929,negative
2024-08-27 18:00:11.000,EZEQUIEL,Member,10.0,"Excelente la atención, las instalaciones. Nuestra 2da visita al hotel, seguramente habrá una 3ra",10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Couple,5.0,Excelente,14,8,2024,2024-08,Invierno,10.0,es,"Excellent service and facilities. Our 2nd visit to the hotel, there will surely be a 3rd.",positive,0.699999988079071,1.5,positive
2024-08-26 06:45:29.000,JOSE,Member,10.0,"hermoso lugar, excelente atencion de todos desde recepcion hasta los  mozos, los chicos de la pile,un paraiso.",10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Family,5.0,Excelente,17,8,2024,2024-08,Invierno,10.0,es,"Beautiful place, excellent service from everyone from reception to the waiters, the pool boys, a paradise.",positive,0.8999999761581421,0.8999999761581421,positive
2024-08-25 14:33:53.000,MIGUEL,Gold,10.0,Atención excelente.,10.0,9.0,10.0,9.0,9.0,Excelente servicio y gente,10.0,Leisure Individual,5.0,Excelente,2,8,2024,2024-08,Invierno,9.25,es,Excellent service.,positive,0.8999999761581421,0.8999999761581421,positive
2024-08-24 11:20:53.000,LEONARDO,Member,8.0,Estuvo todo muy lindo. Pero hay un problema con la leche en el desayuno.,10.0,10.0,10.0,10.0,8.0,Existe un problema con la leche en el desayuno.,10.0,Couple,4.0,Excelente,14,8,2024,2024-08,Invierno,9.5,es,Everything was very nice. But there is a problem with the milk at breakfast.,negative,0.0,1.7000000476837158,neutral
2024-08-24 10:37:11.000,JIE,Gold,10.0,The staff members were very friendly and provided us recommendations for local restaurants and other attractions. The location is in the city center close to most of the attractions. Nothing to complain about. Will definitely stay in this hotel again if we come back to Buenos Aires,10.0,10.0,10.0,10.0,10.0,All the facilities are modernized to the higher level of safety and standards.,10.0,Couple,5.0,Excelente,47,8,2024,2024-08,Invierno,10.0,en,The staff members were very friendly and provided us recommendations for local restaurants and other attractions. The location is in the city center close to most of the attractions. Nothing to complain about. Will definitely stay in this hotel again if we come back to Buenos Aires,positive,0.699999988079071,2.9000000953674316,positive
2024-08-23 08:58:09.000,CARLOS,Gold,6.0,Cuartos muy viejos y elevadores de terror,10.0,10.0,10.0,4.0,5.0,Unknown,10.0,Leisure Individual,3.0,Excelente,7,8,2024,2024-08,Invierno,7.25,es,Very old rooms and scary elevators,negative,-0.30000001192092896,0.30000001192092896,negative
2024-08-21 16:40:04.000,MARCELO,Non-Member,10.0,Todo fantastico. Excelente amabilidad en la atencion en todos lados. Limpieza absoluta. Excelente estadia,10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Couple,5.0,Excelente,14,8,2024,2024-08,Invierno,10.0,es,Everything was fantastic. Excellent kindness in the attention everywhere. Absolute cleanliness. Excellent stay.,positive,0.8999999761581421,3.5999999046325684,positive
2024-08-21 13:12:27.000,JAMES,Member,9.0,i was traveling with a group that booked the hotel. the room was well appointed but the bathroom needed updating. the shower was not the best. the included breakfast was not really up to what i had just experienced in brazil. needs a great deal of work. we are not argentines. we are world travelers and expect something better.,10.0,10.0,10.0,10.0,8.0,see page one,10.0,Leisure Individual,4.5,Excelente,59,8,2024,2024-08,Invierno,9.5,en,i was traveling with a group that booked the hotel. the room was well appointed but the bathroom needed updating. the shower was not the best. the included breakfast was not really up to what i had just experienced in brazil. needs a great deal of work. we are not argentines. we are world travelers and expect something better.,negative,-0.6000000238418579,4.199999809265137,negative
