Date,Room Type,Adults,Children,Package Code,Currency Code,Amount,Check-in Date,Check-out Date,Room Number,Requests,Stay Duration,Year,Month,Guest Type
2023-01-01,TWTW,2.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-04,524.0,,3,2023,1,Couple
2023-01-01,GENR,2.0,0.0,SDC,USD,183.0,2023-01-01,2023-01-03,407.0,No request,2,2023,1,Couple
2023-01-01,GENR,2.0,0.0,SDC,USD,183.0,2023-01-01,2023-01-03,411.0,No request,2,2023,1,Couple
2023-01-01,GENR,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-02,508.0,No request,1,2023,1,Solo
2023-01-01,GENR,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-02,511.0,No request,1,2023,1,Solo
2023-01-01,GENR,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-02,512.0,No request,1,2023,1,Solo
2023-01-01,GENR,2.0,0.0,BEN,USD,185.0,2023-01-01,2023-01-03,728.0,Member Rate (M5),2,2023,1,Couple
2023-01-01,TWTW,2.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-04,524.0,No request,3,2023,1,Couple
2023-01-01,GENR,2.0,0.0,BEN,USD,205.0,2023-01-01,2023-01-02,527.0,"Member Rate (M5),Member (Y1)",1,2023,1,Couple
2023-01-01,DKNG,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-06,606.0,28100,5,2023,1,Solo
2023-01-01,DKNG,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-06,606.0,No request,5,2023,1,Solo
2023-01-01,GENR,2.0,0.0,BEN,USD,185.0,2023-01-01,2023-01-03,728.0,Member Rate (M5),2,2023,1,Couple
2023-01-01,GENR,2.0,0.0,BEN,USD,185.0,2023-01-01,2023-01-03,728.0,Member Rate (M5),2,2023,1,Couple
2023-01-01,EXEC,1.0,0.0,OTD,USD,161.0,2023-01-01,2023-01-03,729.0,No request,2,2023,1,Solo
2023-01-01,CITY,2.0,0.0,SDC,USD,151.0,2023-01-01,2023-01-02,821.0,"Valid Rate ID Required (I2),Mobile Key,Titanium Elite (X4)",1,2023,1,Couple
2023-01-01,EXEC,1.0,0.0,ADP,USD,175.0,2023-01-01,2023-01-02,829.0,No request,1,2023,1,Solo
2023-01-01,GENR,1.0,0.0,SPE,USD,96.0,2023-01-01,2023-01-01,831.0,No request,0,2023,1,Solo
2023-01-01,GENR,2.0,0.0,SDC,USD,159.0,2023-01-01,2023-01-04,912.0,"Valid Rate ID Required (I2),Extra Foam Pillows (Y2)",3,2023,1,Couple
2023-01-01,GENR,2.0,0.0,SDC,USD,151.0,2023-01-01,2023-01-04,1012.0,No request,3,2023,1,Couple
2023-01-01,EXEC,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-02,1029.0,No request,1,2023,1,Solo
2023-01-01,TWTW,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-02,1224.0,None,1,2023,1,Solo
2023-01-01,GENR,1.0,0.0,SPE,USD,145.0,2023-01-01,2023-01-02,1208.0,No request,1,2023,1,Solo
2023-01-01,DBDB,1.0,0.0,SPE,USD,96.0,2023-01-01,2023-01-02,1222.0,No request,1,2023,1,Solo
2023-01-01,TWTW,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-02,1224.0,No request,1,2023,1,Solo
2023-01-01,QUEN,1.0,0.0,ECM,USD,319.44,2023-01-01,2023-01-02,1226.0,"OTA BOOKING (O9),Breakfast included (B6)",1,2023,1,Solo
2023-01-01,SUIT,2.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-05,1506.0,No request,4,2023,1,Couple
2023-01-01,SUIT,1.0,0.0,SDC,USD,183.0,2023-01-01,2023-01-03,1407.0,"Valid Rate ID Required (I2),Extra Towels (E6),Extra Foam Pillows (Y2),Accepted Hskpg Service (J9),Mobile Key,Elite Breakfast (B3)",2,2023,1,Solo
2023-01-01,SUIT,1.0,0.0,SPE,USD,145.0,2023-01-01,2023-01-02,1408.0,No request,1,2023,1,Solo
2023-01-01,EXEC,2.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-03,1429.0,No request,2,2023,1,Couple
2023-01-01,EXEC,2.0,0.0,SDC,USD,191.0,2023-01-01,2023-01-05,1629.0,No request,4,2023,1,Couple
2023-01-01,SUIT,2.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-05,1506.0,No request,4,2023,1,Couple
2023-01-01,SUIT,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-03,1507.0,No request,2,2023,1,Solo
2023-01-01,SUIT,2.0,0.0,BEN,USD,185.0,2023-01-01,2023-01-04,1603.0,No request,3,2023,1,Couple
2023-01-01,DBDB,2.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-04,1622.0,Mobile Key,3,2023,1,Couple
2023-01-01,EXEC,2.0,0.0,SDC,USD,191.0,2023-01-01,2023-01-05,1629.0,No request,4,2023,1,Couple
2023-01-01,GENR,2.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-04,1631.0,No request,3,2023,1,Couple
2023-01-01,SUIT,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-02,1706.0,No request,1,2023,1,Solo
2023-01-01,CITY,2.0,0.0,SPE,USD,152.0,2023-01-01,2023-01-02,1721.0,No request,1,2023,1,Couple
2023-01-01,GENR,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-06,1726.0,No request,5,2023,1,Solo
2023-01-01,GENR,2.0,0.0,SDC,USD,151.0,2023-01-01,2023-01-04,1727.0,Valid Rate ID Required (I2),3,2023,1,Couple
2023-01-01,SUIT,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-04,1804.0,No request,3,2023,1,Solo
2023-01-01,EXEC,1.0,0.0,BMR,USD,31.0,2023-01-01,2023-01-06,1829.0,No request,5,2023,1,Solo
2023-01-01,DBDB,1.0,0.0,SDC,USD,161.0,2023-01-01,2023-01-04,2122.0,Valid Rate ID Required (I2),3,2023,1,Solo
2023-01-02,VIEW,1.0,0.0,SDC,USD,151.0,2023-01-02,2023-01-04,502.0,Valid Rate ID Required (I2),2,2023,1,Solo
2023-01-02,EXEC,2.0,0.0,SDC,USD,151.0,2023-01-02,2023-01-04,529.0,Valid Rate ID Required (I2),2,2023,1,Couple
2023-01-02,VIEW,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-04,602.0,No request,2,2023,1,Couple
2023-01-02,GENR,1.0,0.0,GCO,USD,50.0,2023-01-02,2023-01-03,623.0,,1,2023,1,Solo
2023-01-02,CITY,1.0,0.0,SPE,USD,165.0,2023-01-02,2023-01-07,621.0,No request,5,2023,1,Solo
2023-01-02,DKNG,2.0,0.0,REG,USD,215.0,2023-01-02,2023-01-04,725.0,,2,2023,1,Couple
2023-01-02,TWTW,2.0,0.0,BEN,USD,185.0,2023-01-02,2023-01-04,624.0,No request,2,2023,1,Couple
2023-01-02,VIEW,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-04,702.0,No request,2,2023,1,Couple
2023-01-02,DKNG,2.0,0.0,REG,USD,215.0,2023-01-02,2023-01-04,725.0,"Split reservation (S5),Member Rate (M5)",2,2023,1,Couple
2023-01-02,EXEC,1.0,0.0,AAA,USD,188.0,2023-01-02,2023-01-03,829.0,"Valid Rate ID Required (I2),Feather Free Room (B5),Titanium Elite (X4)",1,2023,1,Solo
2023-01-02,GENR,1.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-03,811.0,No request,1,2023,1,Solo
2023-01-02,GENR,2.0,0.0,SPE,USD,161.0,2023-01-02,2023-01-03,812.0,No request,1,2023,1,Couple
2023-01-02,DBDB,2.0,0.0,ECM,USD,289.19,2023-01-02,2023-01-04,822.0,16902,2,2023,1,Couple
2023-01-02,EXEC,1.0,0.0,AAA,USD,188.0,2023-01-02,2023-01-03,829.0,"Valid Rate ID Required (I2),Feather Free Room (B5),Titanium Elite (X4)",1,2023,1,Solo
2023-01-02,VIEW,1.0,0.0,SPE,USD,135.0,2023-01-02,2023-01-03,902.0,No request,1,2023,1,Solo
2023-01-02,TWTW,2.0,0.0,BEN,USD,185.0,2023-01-02,2023-01-04,924.0,No request,2,2023,1,Couple
2023-01-02,EXEC,1.0,0.0,BEN,USD,219.0,2023-01-02,2023-01-03,929.0,"Titanium Elite (X4),Nightly Upgrade Award (N2)",1,2023,1,Solo
2023-01-02,CITY,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-03,1003.0,No request,1,2023,1,Couple
2023-01-02,QUEN,1.0,0.0,SPE,USD,115.0,2023-01-02,2023-01-20,1109.0,None,18,2023,1,Solo
2023-01-02,GENR,1.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-03,1011.0,No request,1,2023,1,Solo
2023-01-02,GENR,2.0,0.0,BEN,USD,185.0,2023-01-02,2023-01-03,1111.0,Member Rate (M5),1,2023,1,Couple
2023-01-02,DBDB,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-04,1122.0,No request,2,2023,1,Couple
2023-01-02,TWTW,2.0,0.0,REG,USD,189.0,2023-01-02,2023-01-04,1124.0,71550,2,2023,1,Couple
2023-01-02,EXEC,2.0,0.0,SPE,USD,116.0,2023-01-02,2023-01-08,1129.0,No request,6,2023,1,Couple
2023-01-02,CITY,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-04,1203.0,No request,2,2023,1,Couple
2023-01-02,DKNG,2.0,0.0,REG,USD,215.0,2023-01-02,2023-01-04,1206.0,"Split reservation (S5),Member Rate (M5)",2,2023,1,Couple
2023-01-02,GENR,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-04,1212.0,No request,2,2023,1,Couple
2023-01-02,CITY,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-04,1402.0,No request,2,2023,1,Couple
2023-01-02,SUIT,1.0,0.0,SPE,USD,165.0,2023-01-02,2023-01-07,1408.0,No request,5,2023,1,Solo
2023-01-02,SUIT,1.0,0.0,MAR,USD,79.0,2023-01-02,2023-01-03,1412.0,No request,1,2023,1,Solo
2023-01-02,CITY,2.0,0.0,SFB,USD,273.0,2023-01-02,2023-01-04,1421.0,No request,2,2023,1,Couple
2023-01-02,GENR,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-03,1430.0,No request,1,2023,1,Couple
2023-01-02,SUIT,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-03,1601.0,No request,1,2023,1,Couple
2023-01-02,SUIT,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-03,1602.0,No request,1,2023,1,Couple
2023-01-02,SUIT,1.0,0.0,SPE,USD,165.0,2023-01-02,2023-01-03,1604.0,No request,1,2023,1,Solo
2023-01-02,TWTW,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-03,1624.0,No request,1,2023,1,Couple
2023-01-02,DKNG,2.0,0.0,REG,USD,205.0,2023-01-02,2023-01-03,1704.0,No request,1,2023,1,Couple
2023-01-02,CITY,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-03,1721.0,No request,1,2023,1,Couple
2023-01-02,DBDB,2.0,0.0,BMR,USD,31.0,2023-01-02,2023-01-04,1822.0,No request,2,2023,1,Couple
2023-01-02,SUIT,1.0,0.0,SPE,USD,165.0,2023-01-02,2023-01-07,1923.0,No request,5,2023,1,Solo
2023-01-02,SUIT,1.0,0.0,SDC,USD,151.0,2023-01-02,2023-01-03,2021.0,"Valid Rate ID Required (I2),Titanium Elite (X4)",1,2023,1,Solo
2023-01-02,SUIT,2.0,0.0,SPE,USD,96.0,2023-01-02,2023-01-03,2022.0,No request,1,2023,1,Couple
2023-01-02,SUIT,1.0,0.0,BEN,USD,185.0,2023-01-02,2023-01-08,2023.0,71550,6,2023,1,Solo
2023-01-02,SUIT,1.0,0.0,BEN,USD,185.0,2023-01-02,2023-01-08,2023.0,"Extra Towels (E6),Member Rate (M5),Extra Feather Pillows (V9)",6,2023,1,Solo
2023-01-02,SUIT,2.0,0.0,REG,USD,259.0,2023-01-02,2023-01-03,2024.0,"Platinum Elite (P6),Foam Pillows (F2)",1,2023,1,Couple
2023-01-02,SUIT,2.0,0.0,OTD,USD,99.0,2023-01-02,2023-01-06,2026.0,No request,4,2023,1,Couple
